Freq[Hz],Re,Im
0.01,-3.68661453870198e-18,2.00712808141284e-16
0.0132194114846603,1.63144972410149e-18,2.60550313450852e-16
0.0174752840000768,2.25673935094581e-18,3.46038502030871e-16
0.0231012970008316,4.01707228669858e-18,4.55622588637548e-16
0.0305385550883342,1.24471942323128e-19,6.0657533883272e-16
0.0403701725859655,3.25988161356125e-19,7.99116499820287e-16
0.0533669923120631,4.44843376498606e-19,1.05984007634693e-15
0.0705480231071864,-1.98006009999272e-19,1.39956307033909e-15
0.093260334688322,-4.76425730686188e-19,1.85055415037518e-15
0.123284673944207,-1.71935993943667e-19,2.44680698916648e-15
0.162975083462064,-6.0649373576514e-19,3.2338278194969e-15
0.215443469003188,-2.86653573093709e-19,4.27515799647904e-15
0.28480358684358,3.01492408601776e-20,5.65175925618449e-15
0.376493580679247,-3.42654000233404e-20,7.47142973655695e-15
0.497702356433211,2.71019220707699e-20,9.87621417657722e-15
0.657933224657568,-5.99612111593204e-20,1.30562135722903e-14
0.869749002617783,-2.71592789779025e-20,1.72592547521536e-14
1.14975699539774,-1.23701397985157e-19,2.28158102037337e-14
1.51991108295293,-2.22787524722614e-19,3.01610947242886e-14
2.00923300256505,-3.66567883784188e-19,3.98712677789404e-14
2.65608778294669,-6.52997672814696e-19,5.27074518926704e-14
3.51119173421513,-1.12063191792529e-18,6.96761533660637e-14
4.64158883361278,-1.93338032306676e-18,9.21077728737234e-14
6.13590727341317,-3.37577719390353e-18,1.21761049904593e-13
8.11130830789687,-5.89148625350906e-18,1.60960955264498e-13
10.7226722201032,-1.02925415400622e-17,2.12780898764965e-13
14.174741629268,-1.79913136569836e-17,2.81283816500032e-13
18.7381742286038,-3.14364217778972e-17,3.71840647739411e-13
24.7707635599171,-5.49352472886434e-17,4.91551448444575e-13
32.7454916287773,-9.60035392951388e-17,6.4980208074373e-13
43.2876128108306,-1.67770456868719e-16,8.59000093162873e-13
57.2236765935022,-2.93178417324445e-16,1.13554753420485e-12
75.6463327554629,-5.12338964324917e-16,1.50112693405139e-12
100,-8.95325395048361e-16,1.98440128386017e-12
132.194114846603,-1.56460748828588e-15,2.62326129280109e-12
174.752840000768,-2.73419472016891e-15,3.4677960776138e-12
231.012970008316,-4.77808067468774e-15,4.58422009195687e-12
305.385550883341,-8.3498239926563e-15,6.06006400633895e-12
403.701725859656,-1.45915315740275e-14,8.01103603488757e-12
533.669923120631,-2.54990457255225e-14,1.05900905998548e-11
705.480231071864,-4.4560091387322e-14,1.39994128252899e-11
932.60334688322,-7.78693684190026e-14,1.85062527035416e-11
1232.84673944207,-1.36076927284234e-13,2.44638369917926e-11
1629.75083462064,-2.3779217032616e-13,3.23389674469368e-11
2154.43469003188,-4.15529868791981e-13,4.27483977013888e-11
2848.0358684358,-7.26093140217701e-13,5.6506675750421e-11
3764.93580679247,-1.26869402669516e-12,7.46888220445702e-11
4977.02356433212,-2.21654658597515e-12,9.87118787780941e-11
6579.33224657569,-3.87185376238666e-12,1.30439701129521e-10
8697.49002617784,-6.76121968980547e-12,1.72314560104215e-10
11497.5699539774,-1.18003232971139e-11,2.27515250157407e-10
15199.1108295293,-2.05754505201096e-11,3.00129988015323e-10
20092.3300256505,-3.5816729668149e-11,3.95303691262854e-10
26560.8778294669,-6.21694552710001e-11,5.19253301172305e-10
35111.9173421513,-1.07380185026242e-10,6.78906119823564e-10
46415.8883361278,-1.83916333889576e-10,8.80660627556812e-10
61359.0727341317,-3.10608646789246e-10,1.12741718246084e-09
81113.0830789686,-5.12759401623902e-10,1.41293548132016e-09
107226.722201032,-8.17235488393244e-10,1.71399445204591e-09
141747.41629268,-1.23858337222653e-09,1.98567596161409e-09
187381.742286038,-1.75940822243915e-09,2.17120399407197e-09
247707.635599171,-2.32387844797239e-09,2.23135238756911e-09
327454.916287773,-2.86262527155426e-09,2.17153421041014e-09
432876.128108306,-3.33138616086164e-09,2.03498769170277e-09
572236.765935023,-3.72459380068794e-09,1.86900235797501e-09
756463.32755463,-4.05799609366152e-09,1.70073958115775e-09
1000000,-4.34684240761924e-09,1.53831596610681e-09
1321941.14846603,-4.59886899790439e-09,1.38323799079434e-09
1747528.40000768,-4.81829539598292e-09,1.23720862229765e-09
2310129.70008316,-5.00910443880691e-09,1.10184644490375e-09
3053855.50883342,-5.17505351143544e-09,9.77841449197826e-10
4037017.25859655,-5.31938883758687e-09,8.65236741017994e-10
5336699.23120631,-5.44492428972876e-09,7.63704190852511e-10
7054802.31071864,-5.55410862321644e-09,6.72677179040816e-10
9326033.46883219,-5.64907158847131e-09,5.91449561533381e-10
12328467.3944207,-5.73166553278693e-09,5.19245904089057e-10
16297508.3462065,-5.80350153347758e-09,4.55269774379071e-10
21544346.9003189,-5.86598082343033e-09,3.9873618858251e-10
28480358.6843581,-5.92032212355101e-09,3.48892595612484e-10
37649358.0679247,-5.96758541513192e-09,3.0503165454912e-10
49770235.6433212,-6.00869261584485e-09,2.66498207230201e-10
65793322.4657569,-6.04444556266533e-09,2.32692210466459e-10
86974900.2617784,-6.07554165250308e-09,2.03068916947203e-10
114975699.539774,-6.10258744562479e-09,1.77137240229404e-10
151991108.295293,-6.12611049721739e-09,1.54456976838976e-10
200923300.256505,-6.14656964787859e-09,1.34635364545624e-10
265608778.294669,-6.16436397376057e-09,1.17323313058824e-10
351119173.421513,-6.17984057094869e-09,1.02211538764488e-10
